"id","name","description","price","category","image","count_in_stock","created_at","updated_at","admin_id"
2,"SSD Hard Drive","Created by admin","89.99","Electronics","https://example.com/image.jpg",52,"2025-09-25 05:26:10.855233","2025-09-25 05:26:10.855233",2
3,"4k Sony Camcorder","Created by admin","899.99","Electronics","https://example.com/image.jpg",22,"2025-09-25 05:26:57.080707","2025-09-25 05:26:57.080707",2
5,"Wireless Headphones","High-quality wireless headphones with noise cancellation.","99.99","Electronics","https://via.placeholder.com/150?text=Headphones",15,"2025-09-25 10:45:54.216045","2025-09-25 10:45:54.216045",2
6,"Smart Watch","Track your fitness and notifications with this smart watch.","149.99","Electronics","https://via.placeholder.com/150?text=Smart+Watch",10,"2025-09-25 10:46:06.903896","2025-09-25 10:46:06.903896",2
7,"Classic Novel","A timeless classic for your reading pleasure.","12.99","Books","https://via.placeholder.com/150?text=Book",30,"2025-09-25 10:46:17.667648","2025-09-25 10:46:17.667648",2
8,"Men's T-Shirt","Comfortable cotton t-shirt in various sizes.","19.99","Fashion","https://via.placeholder.com/150?text=T-Shirt",50,"2025-09-25 10:46:26.028199","2025-09-25 10:46:26.028199",2
9,"Bluetooth Speaker","Portable speaker with excellent sound quality.","39.99","Electronics","https://via.placeholder.com/150?text=Speaker",20,"2025-09-25 10:46:33.666917","2025-09-25 10:46:33.666917",2
10,"Cookbook","Delicious recipes from around the world.","24.99","Books","https://via.placeholder.com/150?text=Cookbook",18,"2025-09-25 10:47:17.186194","2025-09-25 10:47:17.186194",2
11,"Women's Jeans","Stylish and comfortable jeans for women.","49.99","Fashion","https://via.placeholder.com/150?text=Jeans",25,"2025-09-25 10:47:29.174857","2025-09-25 10:47:29.174857",2
12,"Laptop Backpack","Durable backpack with laptop compartment.","59.99","Fashion","https://via.placeholder.com/150?text=Backpack",12,"2025-09-25 10:47:36.140948","2025-09-25 10:47:36.140948",2
13,"Tablet","Lightweight tablet for work and play.","199.99","Electronics","https://via.placeholder.com/150?text=Tablet",8,"2025-09-25 10:47:42.750618","2025-09-25 10:47:42.750618",2
